"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.02.2023","12.573,36","12.522,69","12.828,15","12.522,69","343,27M","-1,79%"
"02.02.2023","12.803,14","12.655,46","12.880,43","12.604,74","395,33M","3,56%"
"01.02.2023","12.363,10","12.084,52","12.456,80","12.010,74","342,54M","2,16%"
"31.01.2023","12.101,93","11.915,97","12.103,30","11.915,97","314,29M","1,59%"
"30.01.2023","11.912,39","12.047,05","12.086,56","11.906,69","277,93M","-2,09%"
"27.01.2023","12.166,60","12.001,32","12.248,15","12.001,32","343,86M","0,96%"
"26.01.2023","12.051,48","11.974,97","12.053,74","11.854,04","266,40M","2,00%"
"25.01.2023","11.814,69","11.636,01","11.841,81","11.550,46","254,58M","-0,27%"
"24.01.2023","11.846,64","11.804,13","11.889,37","11.780,25","213,95M","-0,22%"
"23.01.2023","11.872,54","11.653,69","11.918,84","11.619,14","289,33M","2,18%"
"20.01.2023","11.619,03","11.364,72","11.621,78","11.332,26","343,34M","2,86%"
"19.01.2023","11.295,67","11.345,53","11.387,61","11.251,94","258,59M","-1,00%"
"18.01.2023","11.410,29","11.634,80","11.690,02","11.403,49","270,21M","-1,27%"
"17.01.2023","11.557,19","11.531,29","11.614,03","11.484,02","261,63M","0,14%"
"13.01.2023","11.541,48","11.363,52","11.547,67","11.350,84","229,09M","0,71%"
"12.01.2023","11.459,61","11.442,89","11.499,69","11.246,02","264,80M","0,50%"
"11.01.2023","11.402,53","11.256,86","11.402,92","11.220,75","278,73M","1,76%"
"10.01.2023","11.205,78","11.069,05","11.206,52","11.051,70","231,44M","0,88%"
"09.01.2023","11.108,45","11.132,33","11.304,84","11.085,38","273,87M","0,62%"
"06.01.2023","11.040,35","10.807,93","11.082,59","10.696,92","315,22M","2,78%"
"05.01.2023","10.741,22","10.838,74","10.838,74","10.729,73","279,74M","-1,59%"
"04.01.2023","10.914,80","10.948,32","10.980,52","10.790,55","291,71M","0,48%"
